sentence,relation,entities,sentence_no_tags
"The heel of a persons foot consists of the <e1>heel</e1> <e2>bone</e2>, a pad of fat which acts as a protective cushion and a layer of thickened skin.",3,"['heel', 'bone']","The heel of a persons foot consists of the heel bone, a pad of fat which acts as a protective cushion and a layer of thickened skin."
A <e1>client</e1> copes with replica failures using a simple retransmission <e2>mechanism</e2>.,11,"['client', 'mechanism']",A client copes with replica failures using a simple retransmission mechanism.
This <e1>sculpture</e1> is part of a shoes <e2>series</e2> I'm currently working on where I revisit some of my favorite classic sneakers silhouettes.,12,"['sculpture', 'series']",This sculpture is part of a shoes series I'm currently working on where I revisit some of my favorite classic sneakers silhouettes.
The <e1>factory</e1>'s <e2>waste</e2> had still not been proven as the cause of Minamata disease.,17,"['factory', 'waste']",The factory's waste had still not been proven as the cause of Minamata disease.
"These <e1>germs</e1> cause several kinds of illnesses, such as <e2>diarrhea</e2>, meningitis or a cold.",0,"['germs', 'diarrhea']","These germs cause several kinds of illnesses, such as diarrhea, meningitis or a cold."
The section provides a detailed <e1>description</e1> of the <e2>market segments</e2> within the communications service industries.,14,"['description', 'market segments']",The section provides a detailed description of the market segments within the communications service industries.
"He found that the <e1>envelope</e1> contained a white <e2>powder</e2>, which you told him was anthrax.",5,"['envelope', 'powder']","He found that the envelope contained a white powder, which you told him was anthrax."
A combustion chamber leak in the cylinder head or block leaks <e1>coolant</e1> into the <e2>cylinder</e2>.,6,"['coolant', 'cylinder']",A combustion chamber leak in the cylinder head or block leaks coolant into the cylinder.
Waves and <e1>coastal</e1> <e2>erosion</e2> is a good general discussion of these subjects.,18,"['coastal', 'erosion']",Waves and coastal erosion is a good general discussion of these subjects.
It was first applied to an eating <e1>establishment</e1> in around 1765 founded by a Parisian <e2>soup-seller</e2> named Boulanger.,16,"['establishment', 'soup-seller']",It was first applied to an eating establishment in around 1765 founded by a Parisian soup-seller named Boulanger.
Ford's Dagenham <e1>workers</e1> still produced more <e2>cars</e2> for less pay than any other plant in Europe in the 1960s.,17,"['workers', 'cars']",Ford's Dagenham workers still produced more cars for less pay than any other plant in Europe in the 1960s.
I have drained the <e1>antifreeze</e1> into the open <e2>containers</e2>.,6,"['antifreeze', 'containers']",I have drained the antifreeze into the open containers.
The <e1>movie</e1> received poor <e2>review</e2> from critics.,15,"['movie', 'review']",The movie received poor review from critics.
Baking <e1>soda</e1> safely tackles kitchen <e2>jobs</e2> above and beyond the legendary box at the back of the refrigerator.,18,"['soda', 'jobs']",Baking soda safely tackles kitchen jobs above and beyond the legendary box at the back of the refrigerator.
But the <e1>role</e1> is also under <e2>scrutiny</e2> in this affair.,18,"['role', 'scrutiny']",But the role is also under scrutiny in this affair.
The revolution of Ayutla represented a broad <e1>coalition</e1> of <e2>forces</e2>.,13,"['coalition', 'forces']",The revolution of Ayutla represented a broad coalition of forces.
This <e1>exhibition</e1> involves <e2>literature</e2> and ethics as well as science and history.,14,"['exhibition', 'literature']",This exhibition involves literature and ethics as well as science and history.
The <e1>company</e1> has made available its <e2>collection</e2> of luxurious full black parts.,17,"['company', 'collection']",The company has made available its collection of luxurious full black parts.
The <e1>riders</e1> are moved into the <e2>beams</e2> until the pointer is balanced at the zero point.,6,"['riders', 'beams']",The riders are moved into the beams until the pointer is balanced at the zero point.
He put <e1>sugar</e1> into his <e2>coffee</e2> without even trying it.,6,"['sugar', 'coffee']",He put sugar into his coffee without even trying it.
"At the end of a long day, the <e1>teacher</e1> relaxed with a short <e2>nap</e2> on her sofa.",18,"['teacher', 'nap']","At the end of a long day, the teacher relaxed with a short nap on her sofa."
A <e1>person</e1> has just arrived from an affected <e2>country</e2> and developed flu-like symptoms.,8,"['person', 'country']",A person has just arrived from an affected country and developed flu-like symptoms.
Thomas once found a <e1>clew</e1> of slow <e2>worms</e2> (about 8) under a stone.,13,"['clew', 'worms']",Thomas once found a clew of slow worms (about 8) under a stone.
"When I read that an Irish <e1>firm</e1> of <e2>solicitors</e2> was named ""Argue and Phibbs"" I assumed that this was an urban legend.",13,"['firm', 'solicitors']","When I read that an Irish firm of solicitors was named ""Argue and Phibbs"" I assumed that this was an urban legend."
"He went to the kids <e1>department</e1> in the <e2>store</e2>, decorated one of the ""Little Brown Bags"" and was entered to win prizes, including a $100 shopping spree.",2,"['department', 'store']","He went to the kids department in the store, decorated one of the ""Little Brown Bags"" and was entered to win prizes, including a $100 shopping spree."
"<e1>Soy</e1> <e2>oil</e2> used in our handmade soy candles is renewable with each growing season, and is just one of the many uses of soybeans.",9,"['Soy', 'oil']","Soy oil used in our handmade soy candles is renewable with each growing season, and is just one of the many uses of soybeans."
"The <e1>road</e1> starts at an <e2>intersection</e2> with Melrose Avenue, East 165th Street, Brook Avenue and Park Avenue in Melrose.",18,"['road', 'intersection']","The road starts at an intersection with Melrose Avenue, East 165th Street, Brook Avenue and Park Avenue in Melrose."
The weight of the <e1>groceries</e1> in a shopping <e2>basket</e2> and the number of items in a shopping basket are discrete quantities.,4,"['groceries', 'basket']",The weight of the groceries in a shopping basket and the number of items in a shopping basket are discrete quantities.
"The <e1>artist</e1> hid the convulsion with a forced <e2>laugh</e2> and finished the performance, but went immediately to bed.",18,"['artist', 'laugh']","The artist hid the convulsion with a forced laugh and finished the performance, but went immediately to bed."
The <e1>organisation</e1> campaigns against such things as <e2>child labour</e2>.,18,"['organisation', 'child labour']",The organisation campaigns against such things as child labour.
"<e1>Herds</e1> with one <e2>stallion</e2> were organized in many stud farms, and a large number of separate lines were recognized.",13,"['Herds', 'stallion']","Herds with one stallion were organized in many stud farms, and a large number of separate lines were recognized."
The <e1>couple</e1> got out safely from the <e2>area</e2>.,8,"['couple', 'area']",The couple got out safely from the area.
The <e1>filters</e1> are going into people's blood <e2>streams</e2>.,6,"['filters', 'streams']",The filters are going into people's blood streams.
"The <e1>brown areas</e1> are caused by <e2>drought</e2>, brown patch, take-all-patch, chinch bugs or grubs.",1,"['brown areas', 'drought']","The brown areas are caused by drought, brown patch, take-all-patch, chinch bugs or grubs."
The <e1>restaurant</e1> creates dishes using farm fresh <e2>products</e2> and organic products found from local farms like Meadow Mountains and Haystack.,11,"['restaurant', 'products']",The restaurant creates dishes using farm fresh products and organic products found from local farms like Meadow Mountains and Haystack.
"But in 2004 the <e1>rupture</e1> started at the <e2>southeast end</e2> of the segment and ran northwestward, the opposite direction from those that struck in '34 and '66.",18,"['rupture', 'southeast end']","But in 2004 the rupture started at the southeast end of the segment and ran northwestward, the opposite direction from those that struck in '34 and '66."
In doing this we recognize that English language teaching comprises a global <e1>community</e1> of <e2>teachers</e2> and learners in a range of social contexts.,13,"['community', 'teachers']",In doing this we recognize that English language teaching comprises a global community of teachers and learners in a range of social contexts.
"The tsunami <e1>wave</e1> was generated by a 100 kilometer radius <e2>cavity</e2>, 3000 meters deep.",8,"['wave', 'cavity']","The tsunami wave was generated by a 100 kilometer radius cavity, 3000 meters deep."
Their dash raised a flock of morning doves and caused a <e1>scurry</e1> of ground <e2>squirrels</e2> into their holes.,13,"['scurry', 'squirrels']",Their dash raised a flock of morning doves and caused a scurry of ground squirrels into their holes.
The other countries passed their own <e1>laws</e1> to establish local slave <e2>registries</e2>.,18,"['laws', 'registries']",The other countries passed their own laws to establish local slave registries.
<e1>Millions</e1> of dollars are poured into <e2>research</e2> for the innermost recesses of the atom.,6,"['Millions', 'research']",Millions of dollars are poured into research for the innermost recesses of the atom.
The <e1>bail</e1> of the <e2>pendant</e2> is created in dimensional lattice weave.,2,"['bail', 'pendant']",The bail of the pendant is created in dimensional lattice weave.
Many adults retain <e1>scars</e1> from <e2>acne breakouts</e2> during their teen years and feel marked for life.,1,"['scars', 'acne breakouts']",Many adults retain scars from acne breakouts during their teen years and feel marked for life.
"It has been nearly 40 years since former U.S. president Lyndon Johnson convened the <e1>skulk</e1> of veteran <e2>foxes</e2> for the fateful consultation on November 2, 1967, on the issue of the Vietnam War.",13,"['skulk', 'foxes']","It has been nearly 40 years since former U.S. president Lyndon Johnson convened the skulk of veteran foxes for the fateful consultation on November 2, 1967, on the issue of the Vietnam War."
Similar <e1>provisions</e1> are established in the same <e2>article</e2>.,15,"['provisions', 'article']",Similar provisions are established in the same article.
Northern Michigan towns hosts an <e1>array</e1> of Yuletide <e2>events</e2>.,18,"['array', 'events']",Northern Michigan towns hosts an array of Yuletide events.
I judged the <e1>book</e1> by the <e2>cover</e2>.,3,"['book', 'cover']",I judged the book by the cover.
"At the same time, the <e1>government</e1> carefully chose the <e2>facts</e2> that it gave to the newspapers.",11,"['government', 'facts']","At the same time, the government carefully chose the facts that it gave to the newspapers."
"The slow <e1>suffocation</e1> of the cells swiftly cause unconsciousness and <e2>shock</e2>, soon followed by death.",0,"['suffocation', 'shock']","The slow suffocation of the cells swiftly cause unconsciousness and shock, soon followed by death."
"The <e1>granules</e1> and the pebbles are caused by a <e2>magnetic force</e2> to collide with one another, thereby resulting in liberation of the oxygen molecules contained in the granules and the pebbles.",18,"['granules', 'magnetic force']","The granules and the pebbles are caused by a magnetic force to collide with one another, thereby resulting in liberation of the oxygen molecules contained in the granules and the pebbles."
The <e1>results</e1> of Al Shabab KSA in the 2007-2008 season are shown in this <e2>article</e2>.,15,"['results', 'article']",The results of Al Shabab KSA in the 2007-2008 season are shown in this article.
The <e1>metacorpora</e1> ware misplaced into the <e2>isthmus</e2>.,6,"['metacorpora', 'isthmus']",The metacorpora ware misplaced into the isthmus.
The <e1>document</e1> makes reference to three similar <e2>incidents</e2>.,14,"['document', 'incidents']",The document makes reference to three similar incidents.
"The <e1>governor</e1> piled up all the mud into another <e2>causeway</e2>, in the style of Bai Causeway.",17,"['governor', 'causeway']","The governor piled up all the mud into another causeway, in the style of Bai Causeway."
His site shows some <e1>pottery</e1> by well known <e2>potters</e2>.,16,"['pottery', 'potters']",His site shows some pottery by well known potters.
"A reservation <e1>newspaper</e1> captured the mood with a <e2>headline</e2>: ""Wilma Mankiller, Cecelia Babykiller.""",3,"['newspaper', 'headline']","A reservation newspaper captured the mood with a headline: ""Wilma Mankiller, Cecelia Babykiller."""
Description StyleSearch is a <e1>competition</e1> to establish the UK's most ethical <e2>dressers</e2>.,18,"['competition', 'dressers']",Description StyleSearch is a competition to establish the UK's most ethical dressers.
His <e1>family</e1> was originally from the Baltic <e2>region</e2>.,8,"['family', 'region']",His family was originally from the Baltic region.
The Catalog of Norwegian Research Institutes and Laboratories is a database containing <e1>information</e1> on more than 110 R&D performing <e2>institutions</e2> in the Norwegian Institute Sector.,14,"['information', 'institutions']",The Catalog of Norwegian Research Institutes and Laboratories is a database containing information on more than 110 R&D performing institutions in the Norwegian Institute Sector.
"In his <e1>speech</e1>, he related his trishaw journey <e2>experience</e2> to the residents who kept giving him loud applause.",14,"['speech', 'experience']","In his speech, he related his trishaw journey experience to the residents who kept giving him loud applause."
The <e1>ear</e1> of the <e2>mouse</e2> was used in this study.,2,"['ear', 'mouse']",The ear of the mouse was used in this study.
"Qualifying for the Champions League, and earning the extra <e1>revenue</e1> from guaranteed television <e2>money</e2>, is a major goal of top European clubs.",8,"['revenue', 'money']","Qualifying for the Champions League, and earning the extra revenue from guaranteed television money, is a major goal of top European clubs."
"In ""Prologue,"" the youthful <e1>scientist</e1> splits open a hailstone with a violin <e2>string</e2>, the only sharp edge available.",11,"['scientist', 'string']","In ""Prologue,"" the youthful scientist splits open a hailstone with a violin string, the only sharp edge available."
"In these cases, the <e1>disappointment</e1> from the <e2>purchase</e2> is not forgotten over time, but rather accumulates.",1,"['disappointment', 'purchase']","In these cases, the disappointment from the purchase is not forgotten over time, but rather accumulates."
In 1805 merchants of the city formed a <e1>troop</e1> of <e2>cavalry</e2> in Montreal.,18,"['troop', 'cavalry']",In 1805 merchants of the city formed a troop of cavalry in Montreal.
The operator drained the <e1>outfall</e1> into the <e2>curb</e2>.,6,"['outfall', 'curb']",The operator drained the outfall into the curb.
They packed <e1>saltpetre</e1> into thin-size bamboo <e2>sticks</e2>.,6,"['saltpetre', 'sticks']",They packed saltpetre into thin-size bamboo sticks.
"The <e1>streaking</e1> was from the <e2>penguins</e2> doing what all animals do in the forests and woods, etc.",18,"['streaking', 'penguins']","The streaking was from the penguins doing what all animals do in the forests and woods, etc."
Solitaire generates its keystream using a <e1>deck</e1> of <e2>cards</e2>.,13,"['deck', 'cards']",Solitaire generates its keystream using a deck of cards.
"Once upon a time, the remit of getting a first <e1>book</e1> published by an unknown <e2>author</e2> was that you had talent for prose and storytelling, along with promise.",16,"['book', 'author']","Once upon a time, the remit of getting a first book published by an unknown author was that you had talent for prose and storytelling, along with promise."
"The term ""dung beetle"" or Mistkaefer is in fact used in the <e1>novella</e1> by the cleaning <e2>lady</e2> near the end of the story, but it is not used in the narration.",18,"['novella', 'lady']","The term ""dung beetle"" or Mistkaefer is in fact used in the novella by the cleaning lady near the end of the story, but it is not used in the narration."
"In the Festival Hall's foyer, alongside videos of Birtwistle cooking pasta, is an exhibition of the versatile <e1>composer</e1>'s <e2>drawings</e2>.",17,"['composer', 'drawings']","In the Festival Hall's foyer, alongside videos of Birtwistle cooking pasta, is an exhibition of the versatile composer's drawings."
This <e1>machine</e1> has a high-speed <e2>semiconductor switch</e2> for quick interruption and restart.,3,"['machine', 'semiconductor switch']",This machine has a high-speed semiconductor switch for quick interruption and restart.
Other standards can apply to <e1>products</e1> covered by this <e2>document</e2>.,18,"['products', 'document']",Other standards can apply to products covered by this document.
This <e1>issue</e1> has been covered in greater detail in many other <e2>documents</e2> about network abuse.,15,"['issue', 'documents']",This issue has been covered in greater detail in many other documents about network abuse.
"Unemployment, <e1>debt</e1> and poverty cause enormous <e2>stress</e2>.",0,"['debt', 'stress']","Unemployment, debt and poverty cause enormous stress."
"The students are groomed by an expert <e1>faculty</e1> of respected <e2>academicians</e2> and proven management professionals, who bring the knowledge and experience of the corporate world to the classroom.",13,"['faculty', 'academicians']","The students are groomed by an expert faculty of respected academicians and proven management professionals, who bring the knowledge and experience of the corporate world to the classroom."
The <e1>earthquake</e1> was caused by the Anatolian plate and the Eurasian <e2>plate</e2> moving past each other.,1,"['earthquake', 'plate']",The earthquake was caused by the Anatolian plate and the Eurasian plate moving past each other.
The frontal <e1>cortex</e1> is a part of the <e2>brain</e2> that maintains very close ties with the limbic system.,2,"['cortex', 'brain']",The frontal cortex is a part of the brain that maintains very close ties with the limbic system.
"There is an exhaust vent and a cable to start the engine, just like a <e1>petrol</e1> driven <e2>lawnmower</e2>.",10,"['petrol', 'lawnmower']","There is an exhaust vent and a cable to start the engine, just like a petrol driven lawnmower."
"The <e1>synthesis</e1> was developed from his own <e2>work</e2> and that of M. C. Read in northern and Northeastern Ohio, G. K. Gilbert and N. H. Winchell in Northwestern Ohio, and Edward Orton in Southwestern Ohio.",8,"['synthesis', 'work']","The synthesis was developed from his own work and that of M. C. Read in northern and Northeastern Ohio, G. K. Gilbert and N. H. Winchell in Northwestern Ohio, and Edward Orton in Southwestern Ohio."
We have injected <e1>liquidity</e1> into the <e2>banking system</e2>.,6,"['liquidity', 'banking system']",We have injected liquidity into the banking system.
"A large wading bird <e1>rookery</e1> of <e2>egrets</e2>, herons, ibis and anhinga is along the lake edge at the east side of the park.",13,"['rookery', 'egrets']","A large wading bird rookery of egrets, herons, ibis and anhinga is along the lake edge at the east side of the park."
The mp3 <e1>player</e1> was inside a <e2>silicone case</e2> that covered everything but the click wheel and the screen.,4,"['player', 'silicone case']",The mp3 player was inside a silicone case that covered everything but the click wheel and the screen.
"While it took only minutes for the Pacific <e1>tsunami</e1> and earthquake to cause <e2>havoc</e2> to the south coast of Samoa, the rebuilding and reconstruction efforts will take years.",0,"['tsunami', 'havoc']","While it took only minutes for the Pacific tsunami and earthquake to cause havoc to the south coast of Samoa, the rebuilding and reconstruction efforts will take years."
"With the <e1>lid</e1> of the three-story <e2>vacuum chamber</e2> in place, a worker on top checks release of the cables.",2,"['lid', 'vacuum chamber']","With the lid of the three-story vacuum chamber in place, a worker on top checks release of the cables."
Many more resources are required in order to stem the <e1>devastation</e1> that has been caused by the <e2>epidemic</e2> throughout sub-Saharan Africa.,1,"['devastation', 'epidemic']",Many more resources are required in order to stem the devastation that has been caused by the epidemic throughout sub-Saharan Africa.
"The red bead on the <e1>crank</e1> of the <e2>toy</e2> detaches, posing a choking hazard to young children.",2,"['crank', 'toy']","The red bead on the crank of the toy detaches, posing a choking hazard to young children."
"The responsibility of the <e1>carrier</e1> commences from the moment he receives the merchandise, personally or through a <e2>person</e2> charged for the purpose.",18,"['carrier', 'person']","The responsibility of the carrier commences from the moment he receives the merchandise, personally or through a person charged for the purpose."
"Everything's been done, all interventions applied and everyone has worked hard at motivating that <e1>cohort</e1> of underperforming <e2>students</e2>.",13,"['cohort', 'students']","Everything's been done, all interventions applied and everyone has worked hard at motivating that cohort of underperforming students."
Each <e1>bid</e1> was enclosed in a sealed <e2>envelope</e2> bearing the title of the Project.,6,"['bid', 'envelope']",Each bid was enclosed in a sealed envelope bearing the title of the Project.
"She placed the <e1>bottle</e1> in a <e2>jug</e2>, filled this with freshly boiled water, and placed it on a low table for ease of access.",6,"['bottle', 'jug']","She placed the bottle in a jug, filled this with freshly boiled water, and placed it on a low table for ease of access."
"As the story goes, Whiteman went from being a string <e1>player</e1> in a symphony <e2>orchestra</e2> to becoming, after the First World War, the highest paid dance band in the country, achieving both fame and money.",12,"['player', 'orchestra']","As the story goes, Whiteman went from being a string player in a symphony orchestra to becoming, after the First World War, the highest paid dance band in the country, achieving both fame and money."
In the end the most important factor is how the <e1>electrician</e1>'s tool <e2>belt</e2> fits.,11,"['electrician', 'belt']",In the end the most important factor is how the electrician's tool belt fits.
"In one case, the <e1>waterjet</e1> caused a large <e2>gouge</e2> on the bottom side of a a copper/ wood/copper piece.",0,"['waterjet', 'gouge']","In one case, the waterjet caused a large gouge on the bottom side of a a copper/ wood/copper piece."
"Frustrations, <e1>threats</e1>, and conflicts cause <e2>stress</e2>.",0,"['threats', 'stress']","Frustrations, threats, and conflicts cause stress."
"This is an atlas of <e1>maps</e1> and graphic <e2>representations</e2> of the geographies of the new electronic territories of the Internet, the World-Wide Web and other emerging Cyberspaces.",18,"['maps', 'representations']","This is an atlas of maps and graphic representations of the geographies of the new electronic territories of the Internet, the World-Wide Web and other emerging Cyberspaces."
"During each trial, the first <e1>experimenter</e1> observed the infant through the small <e2>peephole</e2> and recorded visual fixations to the left and right stimuli.",11,"['experimenter', 'peephole']","During each trial, the first experimenter observed the infant through the small peephole and recorded visual fixations to the left and right stimuli."
The <e1>sample</e1> was contained in a brass sample <e2>cup</e2>.,4,"['sample', 'cup']",The sample was contained in a brass sample cup.
"The <e1>blacksmith</e1> creates shoes for horses and oxen, hinges for doors, farm implements, metal <e2>parts</e2> for wagons, hooks for home use, cutting utensils and other similar devices.",17,"['blacksmith', 'parts']","The blacksmith creates shoes for horses and oxen, hinges for doors, farm implements, metal parts for wagons, hooks for home use, cutting utensils and other similar devices."
"There's the <e1>city</e1> that sprang from the imagination of the <e2>author</e2> of ""The Charterhouse of Parma,"" and there's the real place.",16,"['city', 'author']","There's the city that sprang from the imagination of the author of ""The Charterhouse of Parma,"" and there's the real place."
The second <e1>author</e1> constructed the web <e2>site</e2> using a new open-source toolkit.,17,"['author', 'site']",The second author constructed the web site using a new open-source toolkit.
He pushed the <e1>rivet</e1> of the cable <e2>strap</e2> back into the hole.,2,"['rivet', 'strap']",He pushed the rivet of the cable strap back into the hole.
This pipeline has transported natural <e1>gas</e1> to the urban <e2>area</e2>.,6,"['gas', 'area']",This pipeline has transported natural gas to the urban area.
"Recently, <e1>interviews</e1> were conduced on the topic of <e2>academic freedom</e2>.",14,"['interviews', 'academic freedom']","Recently, interviews were conduced on the topic of academic freedom."
There was also some <e1>argumentation</e1> between the co-pilot and the pilot and captain relating with the <e2>speed</e2> and flaps.,14,"['argumentation', 'speed']",There was also some argumentation between the co-pilot and the pilot and captain relating with the speed and flaps.
There was a whole <e1>cohort</e1> of young <e2>professionals</e2> working to establish themselves.,13,"['cohort', 'professionals']",There was a whole cohort of young professionals working to establish themselves.
"In those five years, a <e1>drug</e1> <e2>developer</e2> must make enough profit to recover costs and replenish its research budget.",16,"['drug', 'developer']","In those five years, a drug developer must make enough profit to recover costs and replenish its research budget."
"The <e1>damages</e1> caused by mudslides, <e2>tremors</e2>, subsidence, superficial or underground water were verified, as well as swelling clay soils.",1,"['damages', 'tremors']","The damages caused by mudslides, tremors, subsidence, superficial or underground water were verified, as well as swelling clay soils."
Our <e1>ancestors</e1> journeyed into an <e2>unknown world</e2> to find food.,6,"['ancestors', 'unknown world']",Our ancestors journeyed into an unknown world to find food.
It is currently a <e1>cabinet</e1> <e2>maker</e2>'s workshop.,16,"['cabinet', 'maker']",It is currently a cabinet maker's workshop.
"In an <e1>excerpt</e1> from upcoming <e2>books</e2>, Andre Agassi says he took what he believes to be speed.",8,"['excerpt', 'books']","In an excerpt from upcoming books, Andre Agassi says he took what he believes to be speed."
Several of the street's whores had wended their way through the crowd and now cooed like a <e1>cote</e1> of perfumed <e2>doves</e2> as they strove to press their exposed flesh to him.,13,"['cote', 'doves']",Several of the street's whores had wended their way through the crowd and now cooed like a cote of perfumed doves as they strove to press their exposed flesh to him.
The real <e1>rum</e1> was in a <e2>glass</e2> on a nearby shelf.,4,"['rum', 'glass']",The real rum was in a glass on a nearby shelf.
UK researchers have offered new <e1>insight</e1> into the <e2>origins</e2> of RNA.,14,"['insight', 'origins']",UK researchers have offered new insight into the origins of RNA.
The <e1>man</e1> delivers one more hard-charging book about the hellish demands of corporate law with the help of a well-used cookie <e2>cutter</e2>.,11,"['man', 'cutter']",The man delivers one more hard-charging book about the hellish demands of corporate law with the help of a well-used cookie cutter.
"As the <e1>boat</e1> sailed away from the <e2>port</e2>, we had a perfect view of Fira and the zigzag road we just traversed via our donkey rides.",8,"['boat', 'port']","As the boat sailed away from the port, we had a perfect view of Fira and the zigzag road we just traversed via our donkey rides."
<e1>Polonium</e1> is distilled from <e2>bismuth</e2> under vacuum in a pot provided with a cover carrying a condenser which is positioned inside the pot.,8,"['Polonium', 'bismuth']",Polonium is distilled from bismuth under vacuum in a pot provided with a cover carrying a condenser which is positioned inside the pot.
The sound <e1>machine</e1> contained 10 <e2>sounds</e2> that his dog loved.,0,"['machine', 'sounds']",The sound machine contained 10 sounds that his dog loved.
Coast <e1>guard</e1> participates in Veterans Day observance <e2>ceremony</e2> in Juneau.,18,"['guard', 'ceremony']",Coast guard participates in Veterans Day observance ceremony in Juneau.
"In the present study, we adapted a <e1>battery</e1> of <e2>tests</e2> used to assess age-related cognitive decline in English speakers for use with older Spanish speakers.",13,"['battery', 'tests']","In the present study, we adapted a battery of tests used to assess age-related cognitive decline in English speakers for use with older Spanish speakers."
"Its <e1>menu</e1> includes customary Chinese <e2>dishes</e2>, such as sweet and sour pork and cashew chicken, but it also lists some uncommon choices such as lemongrass chicken and kung pao triple delight.",13,"['menu', 'dishes']","Its menu includes customary Chinese dishes, such as sweet and sour pork and cashew chicken, but it also lists some uncommon choices such as lemongrass chicken and kung pao triple delight."
Police have appealed for help in catching a burglar who snatched a <e1>suitcase</e1> full of <e2>booze</e2> from a garden shed.,5,"['suitcase', 'booze']",Police have appealed for help in catching a burglar who snatched a suitcase full of booze from a garden shed.
"She saved up to 80% on <e1>ring</e1> <e2>binders</e2>, lever arch files, box files, folders, manilla wallets, suspension files, plastic wallets and plastic pockets.",2,"['ring', 'binders']","She saved up to 80% on ring binders, lever arch files, box files, folders, manilla wallets, suspension files, plastic wallets and plastic pockets."
This is a list of <e1>films</e1> that feature <e2>extraterrestrial life</e2>.,14,"['films', 'extraterrestrial life']",This is a list of films that feature extraterrestrial life.
"MEP center specialists provide an <e1>array</e1> of <e2>services</e2> to companies, from initial assessments prioritizing opportunities for improvement, to implementation projects guiding companies through process improvements, productivity increases, and growth.",13,"['array', 'services']","MEP center specialists provide an array of services to companies, from initial assessments prioritizing opportunities for improvement, to implementation projects guiding companies through process improvements, productivity increases, and growth."
A second element of <e1>debate</e1> had to do with <e2>transparency</e2>.,14,"['debate', 'transparency']",A second element of debate had to do with transparency.
This <e1>module</e1> is part of the Virtual Geography department <e2>project</e2> and has been prepared for the Physical Geography Working Group of the Project.,2,"['module', 'project']",This module is part of the Virtual Geography department project and has been prepared for the Physical Geography Working Group of the Project.
"This <e1>series</e1> consists of edited <e2>collections</e2> of essays, some original and some previously published.",13,"['series', 'collections']","This series consists of edited collections of essays, some original and some previously published."
These slippers have a <e1>double sole</e1> with <e2>padding</e2> inside.,3,"['double sole', 'padding']",These slippers have a double sole with padding inside.
"<e1>Jumbo squids</e1> are migrating into new <e2>waters</e2>, and scientists wonder why.",6,"['Jumbo squids', 'waters']","Jumbo squids are migrating into new waters, and scientists wonder why."
A cornerstone of American Jurisprudence is the right to be tried by a <e1>jury</e1> of ones <e2>peers</e2>.,13,"['jury', 'peers']",A cornerstone of American Jurisprudence is the right to be tried by a jury of ones peers.
"Highly durable, the <e1>umbrella</e1> <e2>frame</e2> and thatch tiles have been designed to withstand harsh conditions including: strong winds, driving rain and snow.",3,"['umbrella', 'frame']","Highly durable, the umbrella frame and thatch tiles have been designed to withstand harsh conditions including: strong winds, driving rain and snow."
The <e1>article</e1> also talks about some fascinating <e2>movies</e2> made by Luis Bunuel.,14,"['article', 'movies']",The article also talks about some fascinating movies made by Luis Bunuel.
A variety of <e1>articles</e1> were written on the topic of <e2>alarm management</e2>.,14,"['articles', 'alarm management']",A variety of articles were written on the topic of alarm management.
"However, his detailed <e1>description</e1> made quite clear the <e2>effect</e2> of the drug.",14,"['description', 'effect']","However, his detailed description made quite clear the effect of the drug."
The <e1>box</e1> was inside a plain brown <e2>paper bag</e2> with a heart drawn on the side.,4,"['box', 'paper bag']",The box was inside a plain brown paper bag with a heart drawn on the side.
The <e1>system</e1> works using a spring loaded Trem <e2>arm</e2> which when turned raises or lowers itself from a nut in the steel backplate.,3,"['system', 'arm']",The system works using a spring loaded Trem arm which when turned raises or lowers itself from a nut in the steel backplate.
"The <e1>steam</e1> caused a <e2>backpressure</e2> on the VTD, resulting in the rupture disc opening.",0,"['steam', 'backpressure']","The steam caused a backpressure on the VTD, resulting in the rupture disc opening."
Such parodies are encouraged by the <e1>news</e1> that the British government's league <e2>tables</e2> for schools and health authorities contain basic flaws which render them practically useless.,14,"['news', 'tables']",Such parodies are encouraged by the news that the British government's league tables for schools and health authorities contain basic flaws which render them practically useless.
The campaign coincides with a government <e1>initiative</e1> to promote <e2>safer drinking</e2>.,18,"['initiative', 'safer drinking']",The campaign coincides with a government initiative to promote safer drinking.
But Solomon had arranged that the only <e1>water</e1> in the palace was in a <e2>jar</e2> by his bed.,4,"['water', 'jar']",But Solomon had arranged that the only water in the palace was in a jar by his bed.
"A decade later, with a growing <e1>congregation</e1> of several hundred <e2>worshippers</e2>, the mosque was ready to expand.",13,"['congregation', 'worshippers']","A decade later, with a growing congregation of several hundred worshippers, the mosque was ready to expand."
The Federal Aviation Administration is investigating the two latest cases under the theory that the <e1>ice</e1> fell from an <e2>aircraft</e2>.,8,"['ice', 'aircraft']",The Federal Aviation Administration is investigating the two latest cases under the theory that the ice fell from an aircraft.
"There was the <e1>glitter</e1> of <e2>admirals</e2> and generals before the high altar, and the brighter colors of the representatives of powers and potentates.",18,"['glitter', 'admirals']","There was the glitter of admirals and generals before the high altar, and the brighter colors of the representatives of powers and potentates."
"As per traditional Indian thinking, seeing a <e1>brood</e1> of <e2>chickens</e2> along with a hen is a bad omen.",13,"['brood', 'chickens']","As per traditional Indian thinking, seeing a brood of chickens along with a hen is a bad omen."
